startup_name,angel,startup_industry,region,startup_location,total_participation_in_percent,birthdate,count
Avi Medical GmbH,Eyser_GmbH_Stuttgart,medicine_biotech,stuttgart,münchen,1.421528571,1987-11-06 0:00:00,1
Avi Medical GmbH,DR._MARTIN_HECKER,medicine_biotech,hamburg,münchen,0.67,1966-10-19 0:00:00,1
Avi Medical GmbH,Jacobo_Invest_GmbH,medicine_biotech,stuttgart,münchen,16.2249125,1973-03-30 0:00:00,1
Avi Medical GmbH,Matthias_Müller,medicine_biotech,munich,münchen,17.1225,1981-02-14 0:00:00,1
Avi Medical GmbH,Increaze_Venture_GmbH,medicine_biotech,munich,münchen,21.58333333,1997-07-08 0:00:00,1
Avi Medical GmbH,INOMO_GmbH,medicine_biotech,stuttgart,münchen,27.0,1965-06-03 0:00:00,1
Avi Medical GmbH,West_Tech_Ventures_GmbH,medicine_biotech,berlin,münchen,2.913027197,1986-10-31 0:00:00,1
Avi Medical GmbH,Vento_Ventures_GmbH_mit_Sitz_in_Berlin_with_registered_office_in_Berlin,medicine_biotech,berlin,münchen,0.4686504854,1982-11-03 0:00:00,1
Avi Medical GmbH,FRESH_Media_GmbH,medicine_biotech,munich,münchen,50.4872,1969-02-12 0:00:00,1
CAPTIQ GmbH,Tiger_Soft_GmbH,finance,berlin,frankfurt am main,34.4873,1984-11-23 0:00:00,1
CAPTIQ GmbH,Previdus_Beteiligungs_GmbH,finance,cologne,frankfurt am main,17.848,1976-10-02 0:00:00,1
ostermeier H2ydrogen Solutions GmbH,David_Klein,energy,munich,schweitenkirchen,25.41333333,1985-09-19 0:00:00,1
ostermeier H2ydrogen Solutions GmbH,Sebastian_Schuon_Investments_GmbH,energy,munich,schweitenkirchen,3.941543689,1984-10-09 0:00:00,1
ostermeier H2ydrogen Solutions GmbH,JALE_Beteiligungs_GmbH,energy,munich,schweitenkirchen,15.9199,1975-07-06 0:00:00,1
ostermeier H2ydrogen Solutions GmbH,Dr._Stefan_Wiskemann,energy,hamburg,schweitenkirchen,5.18057589,1964-02-14 0:00:00,1
ostermeier H2ydrogen Solutions GmbH,A06_Ventures_UG_(haftungsbeschränkt),energy,berlin,schweitenkirchen,16.1906,1989-10-21 0:00:00,1
ostermeier H2ydrogen Solutions GmbH,Severe_Capital_GmbH,energy,cologne,schweitenkirchen,38.2675,1972-10-26 0:00:00,1
ostermeier H2ydrogen Solutions GmbH,SI_Development_&_Service_GmbH,energy,other,schweitenkirchen,2.34415,1977-10-31 0:00:00,1
ostermeier H2ydrogen Solutions GmbH,Stephan_Huber,energy,other,schweitenkirchen,10.0878706,1970-07-25 0:00:00,1
ostermeier H2ydrogen Solutions GmbH,Renner_Ventures_&_Philanthropies_GmbH,energy,munich,schweitenkirchen,3.335972672,1984-04-28 0:00:00,1
ostermeier H2ydrogen Solutions GmbH,Mücke_&_Sturm_Beteiligungsgesellschaft_mbH,energy,munich,schweitenkirchen,5.251314286,1971-11-25 0:00:00,1
ostermeier H2ydrogen Solutions GmbH,wrapall_UG_(haftungsbeschränkt),energy,other,schweitenkirchen,0.2661,1981-08-06 0:00:00,1
ostermeier H2ydrogen Solutions GmbH,Rebernik_UG_(haftungsbeschränkt),energy,berlin,schweitenkirchen,8.42638,1977-05-28 0:00:00,1
ostermeier H2ydrogen Solutions GmbH,BeAI_GmbH,energy,frankfurt,schweitenkirchen,3.839733333,1976-05-25 0:00:00,1
ostermeier H2ydrogen Solutions GmbH,Charles_Maxim_Rolfe_Songhurst,energy,international,schweitenkirchen,1.004878571,1978-09-18 0:00:00,1
Amazing Brands Group GmbH,Headstart_Ventures_Unternehmergesellschaft_(haftungsbeschränkt),ecommerce,berlin,köln,0.239925,1984-10-06 0:00:00,1
Amazing Brands Group GmbH,Colinus_GmbH,ecommerce,frankfurt,köln,8.256666667,1981-12-26 0:00:00,1
Amazing Brands Group GmbH,Daniel_David_Schäfer,ecommerce,mannheim,köln,38.0,1986-06-21 0:00:00,1
Amazing Brands Group GmbH,about:seed_GmbH,ecommerce,cologne,köln,1.67768,1978-02-06 0:00:00,1
Amazing Brands Group GmbH,DnA_Ventures_GmbH,ecommerce,cologne,köln,49.16666667,1986-09-15 0:00:00,1
Amazing Brands Group GmbH,Hoffschmidt_Ventures_GmbH,ecommerce,berlin,köln,5.4772,1988-07-14 0:00:00,1
Amazing Brands Group GmbH,Alamak_GmbH,ecommerce,cologne,köln,22.235,1977-01-03 0:00:00,1
Amazing Brands Group GmbH,Hill_GmbH,ecommerce,cologne,köln,32.38229757,1965-12-14 0:00:00,1
Amazing Brands Group GmbH,Penguin_H_UG_(haftungsbeschraenkt),ecommerce,cologne,köln,9.78285,1974-07-11 0:00:00,1
WorkMotion Software GmbH,Ralph_Müller,staffing,frankfurt,berlin,2.009466667,1971-05-19 0:00:00,1
WorkMotion Software GmbH,Pandora_Investments_GmbH,staffing,hamburg,berlin,6.2775,1966-10-03 0:00:00,1
WorkMotion Software GmbH,Amentory_GmbH,staffing,berlin,berlin,18.9885,1985-11-28 0:00:00,1
WorkMotion Software GmbH,Fellger_Vermögensverwaltung_UG_(haftungsbeschränkt),staffing,berlin,berlin,13.44,1971-10-14 0:00:00,1
WorkMotion Software GmbH,Pineapple_Ventures_UG_(haftungsbeschränkt)_AG_Nürnberg,staffing,other,berlin,3.0021,1994-09-30 0:00:00,1
WorkMotion Software GmbH,MF_Invest_&_Consulting_GmbH,staffing,other,berlin,5.8372,1966-07-25 0:00:00,1
WorkMotion Software GmbH,Beam_GmbH,staffing,berlin,berlin,56.03916,1980-09-07 0:00:00,1
WorkMotion Software GmbH,Courage_Companies_UG_(haftungsbeschränkt),staffing,munich,berlin,0.1423666667,1982-08-01 0:00:00,1
WorkMotion Software GmbH,STEFAN_SCHMÖLZ,staffing,munich,berlin,0.62,1973-01-17 0:00:00,1
G Esports Holding GmbH,Future_Prop_UG_(haftungsbeschränkt),gaming,berlin,berlin,0.9133333333,1987-07-31 0:00:00,1
Roobeo GmbH,Schwarzenholz_Ventures_GmbH,construction,berlin,berlin,0.3631,1981-11-04 0:00:00,1
Roobeo GmbH,Scalar_Ventures_GmbH,construction,munich,berlin,1.048807811,1972-06-10 0:00:00,1
Roobeo GmbH,BAK_Venture_GmbH,construction,other,berlin,8.47722,1987-03-02 0:00:00,1
Roobeo GmbH,JG_Holding_GmbH,construction,cologne,berlin,44.2,1980-07-23 0:00:00,1
Roobeo GmbH,Jacobo_Invest_GmbH,construction,stuttgart,berlin,16.2249125,1973-03-30 0:00:00,1
Roobeo GmbH,Auspicium_Beteiligungs_UG_(haftungsbeschränkt),construction,munich,berlin,1.01,,1
Roobeo GmbH,B.I.G._Holding_SE,construction,berlin,berlin,31.19705,,1
aidhere GmbH,Widal_Holding_GmbH,medicine_biotech,stuttgart,hamburg,11.10149667,1995-06-01 0:00:00,1
aidhere GmbH,Dupuis_Investment_GmbH,medicine_biotech,berlin,hamburg,1.316666667,1967-05-06 0:00:00,1
aidhere GmbH,goodcap_ventures_UG_(haftungsbeschränkt),medicine_biotech,hamburg,hamburg,16.81493333,1980-12-17 0:00:00,1
aidhere GmbH,BHB_Beteiligungsgesellschaft_mbH,medicine_biotech,hamburg,hamburg,22.83333333,1979-11-28 0:00:00,1
aidhere GmbH,Mega_Ventures_GmbH,medicine_biotech,hamburg,hamburg,28.7,1988-11-30 0:00:00,1
aidhere GmbH,Minec_Holding_UG_(haftungsbeschränkt),medicine_biotech,hamburg,hamburg,5.1259,1974-08-13 0:00:00,1
Sunshine Smile GmbH,m.w.mosen_GmbH,medicine_biotech,cologne,berlin,0.8163666667,1964-04-24 0:00:00,1
Sunshine Smile GmbH,NW_Investments_UG_(haftungsbeschränkt),medicine_biotech,berlin,berlin,1.68,1994-11-03 0:00:00,1
Sunshine Smile GmbH,R.O.I._GmbH,medicine_biotech,berlin,berlin,1.483333333,1996-06-26 0:00:00,1
Sunshine Smile GmbH,Stephan_Huber,medicine_biotech,other,berlin,10.0878706,1970-07-25 0:00:00,1
Sunshine Smile GmbH,CK_Venture_Capital_GmbH,medicine_biotech,munich,berlin,3.71346,1974-01-26 0:00:00,1
Sunshine Smile GmbH,JAN_ARNE_TEGTMEIER,medicine_biotech,hamburg,berlin,0.8683333333,1976-08-20 0:00:00,1
Sunshine Smile GmbH,Dr._Stefan_Wiskemann,medicine_biotech,hamburg,berlin,5.18057589,1964-02-14 0:00:00,1
Sunshine Smile GmbH,Goldfinger_Investment_Holding_GmbH,medicine_biotech,berlin,berlin,0.81464,1976-05-15 0:00:00,1
Sunshine Smile GmbH,Bornschein_&_keine_Töchter_GmbH,medicine_biotech,berlin,berlin,33.66426667,1983-03-11 0:00:00,1
Sunshine Smile GmbH,Comatus_UG_(haftungsbeschränkt),medicine_biotech,berlin,berlin,9.133666667,1983-09-15 0:00:00,1
Sunshine Smile GmbH,Alvio_GmbH,medicine_biotech,berlin,berlin,2.4475,1982-01-05 0:00:00,1
Sunshine Smile GmbH,Next_Big_Thing_AG,medicine_biotech,berlin,berlin,58.97683333,1971-02-14 0:00:00,1
Othoz GmbH,JAN_ARNE_TEGTMEIER,finance,hamburg,berlin,0.8683333333,1976-08-20 0:00:00,1
Othoz GmbH,Wax_Venture_UG_(haftungsbeschränkt),finance,other,berlin,8.421720604,1984-02-13 0:00:00,1
Othoz GmbH,Hanse_Ventures_BSJ_GmbH,finance,hamburg,berlin,18.15857143,1982-10-03 0:00:00,1
Othoz GmbH,MCB_Pepper_GmbH_mit_Sitz_in_Berlin,finance,berlin,berlin,1.21865,1980-01-22 0:00:00,1
Climedo Health GmbH,jvh-ventures_GmbH,medicine_biotech,other,münchen,21.215,1979-09-27 0:00:00,1
Climedo Health GmbH,Rebernik_UG_(haftungsbeschränkt),medicine_biotech,berlin,münchen,8.42638,1977-05-28 0:00:00,1
Climedo Health GmbH,DRSAPS_GmbH,medicine_biotech,munich,münchen,2.083333333,1978-11-21 0:00:00,1
Climedo Health GmbH,DSR_Ventures_GmbH,medicine_biotech,munich,münchen,0.723249191,1985-08-14 0:00:00,1
ARTMO GmbH,Liberty_Ventures_GmbH,media,berlin,hamburg,32.0574,1986-08-10 0:00:00,1
ARTMO GmbH,Fabiola_Hochkirchen,media,berlin,hamburg,0.4025,1978-07-10 0:00:00,1
ARTMO GmbH,G._Kaiser_HOLISTIC_CAPITAL_GmbH_AGa,media,berlin,hamburg,20.75716667,1967-03-27 0:00:00,1
ARTMO GmbH,Reber_Capital_UG_(haftungsbeschränkt),media,berlin,hamburg,5.334811111,1987-08-27 0:00:00,1
ARTMO GmbH,make_a_startup_GmbH,media,berlin,hamburg,4.393333333,1981-06-15 0:00:00,1
ARTMO GmbH,CG_Ventures_GmbH_Baiersbronn,media,stuttgart,hamburg,7.089746667,1985-12-29 0:00:00,1
ARTMO GmbH,Oliver_Diezmann,media,hamburg,hamburg,0.675,1972-01-03 0:00:00,1
ARTMO GmbH,DIRK_BREITBACH,media,cologne,hamburg,0.492,1969-08-18 0:00:00,1
ARTMO GmbH,Bochum_Ventures_GmbH,media,cologne,hamburg,26.0174375,1985-02-05 0:00:00,1
